                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     26,               0.048883,               0.047057,               0.024441,                      0,                0.75727,                0.58969,                0.63043,                0.29869,                0.72292,                 0.5487,                0.60964,                0.27159,               0.051904,               0.052741,               0.016571,                      0,                0.00505,                0.00505,                0.00505
                     27,               0.049005,               0.046672,               0.024042,                      0,                0.75947,                0.56315,                0.63008,                0.29074,                0.71229,                0.52832,                0.60241,                0.27144,               0.052557,               0.055656,               0.016453,                      0,               0.004852,               0.004852,               0.004852
                     28,               0.047863,               0.046644,               0.024132,                      0,                0.74853,                0.53702,                0.59719,                0.28192,                0.69771,                0.53608,                0.60428,                0.27591,               0.052957,               0.054308,               0.016567,                      0,               0.004654,               0.004654,               0.004654
                     29,               0.046836,               0.045816,               0.023478,                      0,                0.76162,                0.56289,                0.63118,                0.30052,                0.68973,                0.50619,                0.56576,                0.25901,               0.052112,               0.054715,               0.016273,                      0,               0.004456,               0.004456,               0.004456
                     30,               0.047077,                0.04597,               0.024009,                      0,                0.74431,                0.53419,                0.61019,                0.29174,                0.59268,                0.51753,                0.53963,                0.24224,                0.05235,               0.054872,               0.016869,                      0,               0.004258,               0.004258,               0.004258
                     31,               0.046457,                0.04541,               0.023258,                      0,                0.78536,                 0.5732,                0.65796,                0.31623,                0.75819,                0.48763,                0.58457,                0.25567,               0.051709,               0.052126,               0.016388,                      0,                0.00406,                0.00406,                0.00406
                     32,               0.046854,               0.045018,               0.023484,                      0,                0.76925,                  0.543,                0.62194,                0.30185,                0.72904,                0.45876,                0.55871,                0.25621,               0.052602,               0.053785,               0.016533,                      0,               0.003862,               0.003862,               0.003862
                     33,               0.046005,               0.045192,               0.022858,                      0,                0.77511,                0.57917,                0.63811,                0.28641,                0.75921,                0.58041,                0.64198,                0.27237,               0.052904,               0.057039,               0.016376,                      0,               0.003664,               0.003664,               0.003664
                     34,               0.045467,               0.044749,               0.022817,                      0,                 0.7384,                0.57617,                0.63007,                0.29906,                0.72569,                0.56728,                0.62936,                0.28171,               0.051777,               0.054043,               0.016842,                      0,               0.003466,               0.003466,               0.003466
                     35,               0.045343,                0.04488,               0.022891,                      0,                0.67588,                0.46434,                0.52369,                0.23582,                0.74136,                0.46289,                0.53416,                0.21583,               0.057781,               0.066826,               0.017166,                      0,               0.003268,               0.003268,               0.003268
                     36,               0.045338,               0.044275,                0.02256,                      0,                0.73789,                0.58866,                0.64999,                0.31625,                0.76474,                0.49072,                0.60886,                0.27604,               0.050464,               0.052821,               0.016453,                      0,                0.00307,                0.00307,                0.00307
                     37,               0.044383,               0.044194,               0.022469,                      0,                0.73723,                0.62476,                0.68182,                0.33825,                0.69987,                0.54639,                0.61402,                0.29034,               0.048654,                 0.0504,               0.016098,                      0,               0.002872,               0.002872,               0.002872
                     38,               0.044597,               0.043962,                0.02271,                      0,                0.75645,                0.58597,                0.65682,                0.30392,                0.72117,                0.55463,                0.60333,                0.26845,               0.051779,               0.055386,                0.01646,                      0,               0.002674,               0.002674,               0.002674
                     39,               0.043754,               0.042776,               0.022015,                      0,                0.76836,                0.60309,                0.66054,                0.31451,                0.73685,                0.56001,                0.60288,                0.27273,               0.050853,               0.054048,               0.016712,                      0,               0.002476,               0.002476,               0.002476
                     40,               0.044108,               0.043384,               0.022093,                      0,                0.80697,                0.59474,                0.67099,                 0.3198,                0.73864,                0.54227,                0.59513,                 0.2732,               0.050217,               0.051732,               0.016769,                      0,               0.002278,               0.002278,               0.002278
                     41,                0.04354,                0.04335,               0.022082,                      0,                 0.7303,                0.56495,                0.60589,                0.29514,                0.68001,                0.45979,                0.50723,                0.23414,               0.052104,                0.05357,               0.016434,                      0,                0.00208,                0.00208,                0.00208
                     42,               0.042906,               0.042954,               0.021953,                      0,                0.78811,                0.60619,                 0.6756,                0.32611,                0.69996,                 0.5291,                0.58384,                0.26451,               0.049633,               0.051429,               0.016487,                      0,               0.001882,               0.001882,               0.001882
                     43,               0.042962,                0.04253,               0.022491,                      0,                0.80582,                0.59175,                0.66767,                0.32663,                0.72494,                 0.5268,                0.59288,                0.28416,                0.04912,               0.050274,               0.016529,                      0,               0.001684,               0.001684,               0.001684
                     44,               0.042368,                0.04206,               0.021338,                      0,                0.78668,                 0.6134,                0.66778,                 0.3231,                0.74239,                0.57113,                0.62737,                 0.2864,               0.049438,               0.052156,               0.016289,                      0,               0.001486,               0.001486,               0.001486
                     45,               0.041922,               0.041248,               0.021923,                      0,                0.79297,                0.63196,                0.69285,                0.33455,                0.72057,                0.55561,                0.63652,                0.30456,               0.048963,               0.052343,               0.015991,                      0,               0.001288,               0.001288,               0.001288
                     46,               0.041969,               0.041402,               0.021587,                      0,                0.80656,                0.63188,                0.69424,                0.33309,                0.73326,                0.56598,                0.62738,                0.29564,               0.048976,               0.051291,               0.016445,                      0,                0.00109,                0.00109,                0.00109
                     47,               0.041597,                0.04151,               0.021757,                      0,                0.80637,                0.63093,                0.69285,                0.35482,                0.74103,                0.59381,                 0.6453,                0.30649,                0.04772,               0.049373,               0.016388,                      0,               0.000892,               0.000892,               0.000892
                     48,               0.041498,               0.041278,                  0.021,                      0,                0.79082,                0.62748,                0.68667,                0.35245,                0.72503,                0.55567,                0.61582,                0.29594,               0.047484,               0.049567,               0.016403,                      0,               0.000694,               0.000694,               0.000694
                     49,               0.041244,               0.041123,               0.021565,                      0,                0.80434,                0.62165,                0.68784,                0.35053,                0.72502,                0.54639,                0.61916,                 0.2981,               0.047931,               0.050066,               0.016296,                      0,               0.000496,               0.000496,               0.000496
                     50,                0.79778,                0.63299,                0.69319,                0.35464,                0.74162,                0.59477,                0.64699,                0.30645,               0.047719,                0.04937,               0.016384,                      0
